plan_id,plan_name,plan_type,premium,deductible,provider
0,Each magazine loss begin.,POS,254,1422,Roman-West
1,Identify laugh.,EPO,242,1230,"Taylor, Hayes and Roy"
2,Dream space special.,HMO,238,2833,Miller-Edwards
3,Ok quickly scene someone.,PPO,712,2889,Tate-White
4,Hard.,HMO,116,2412,"Lee, Woods and Rivers"
5,Reason order.,PPO,188,4356,Burnett-Wallace
6,Nothing subject.,PPO,556,2938,Klein-Ellison
7,Decision through citizen.,PPO,852,1094,Thomas-Ramirez
8,Girl if.,HMO,517,4889,"Hurst, Moore and Villa"
9,Song street medical.,POS,237,4427,Hurley Ltd
10,Table front blue.,PPO,812,577,Gray Inc
11,Art least.,PPO,853,4181,Fields Inc
12,Likely continue.,POS,454,4580,"Robinson, Williams and Richards"
13,Particular radio audience question.,EPO,619,4348,"Choi, Quinn and Day"
14,Garden enough.,HMO,323,3659,"Castillo, Patel and Keller"
15,Mention method.,PPO,591,2337,"White, Brown and Griffin"
16,Possible notice defense.,POS,592,537,Miller-Love
17,Show simple trouble.,POS,726,4637,Carter-Johnson
18,Radio.,PPO,746,4093,Taylor Ltd
19,Day significant letter.,HMO,756,1540,Hines-Meadows
20,Medical get.,HMO,191,4609,Carey-Scott
21,American forward maybe.,HMO,162,3244,"Dickson, Walker and Brown"
22,Century course.,EPO,442,2474,Russell-Ellis
23,Somebody say.,HMO,600,3507,Hayden PLC
24,Idea start.,EPO,312,2246,Castro Inc
25,Week why.,EPO,604,2314,"Gonzales, Harvey and Odonnell"
26,Country give miss.,POS,844,2767,Flores Ltd
27,Offer term child.,HMO,885,1698,"Perez, Vance and Gallagher"
28,That player.,POS,615,3421,Hughes Group
29,Send partner authority.,HMO,913,1971,Bailey-Hernandez
30,Which mission marriage.,PPO,206,4007,Lopez Group
31,Feeling oil nation.,EPO,468,3487,Walker-Santana
32,Onto threat.,PPO,872,4865,Sellers Inc
33,Dark world.,PPO,717,512,"Tucker, Jenkins and Fisher"
34,Plan bring wall.,EPO,335,3099,French and Sons
35,East machine their.,PPO,407,4596,"Hunt, Thomas and Delacruz"
36,Show.,EPO,631,3911,Wu Ltd
37,Certainly keep generation.,POS,758,2251,Howe-Bentley
38,Under could.,EPO,599,1700,Brock-Clark
39,State represent.,POS,724,4987,Navarro Group
40,Wait Mrs.,EPO,737,3143,Soto-Larson
41,Grow size.,EPO,127,3116,Nielsen PLC
42,Friend little east.,EPO,451,1452,"Whitaker, Young and Morales"
43,Film return fight.,PPO,266,4169,Morris Inc
44,Member.,EPO,398,4775,"Fisher, Nunez and Harding"
45,Mouth who attention.,HMO,661,2586,Gay and Sons
46,Field continue.,HMO,444,1844,Graham LLC
47,Nice way treatment property.,EPO,769,568,Johnson Inc
48,Really bit various.,PPO,621,3614,Cook Group
49,Crime skill hit.,EPO,832,2402,"Glover, Walker and Raymond"
50,Huge happen.,EPO,279,1514,Wilson-Smith
51,Stage fight woman.,EPO,990,2495,Huerta LLC
52,Focus painting way.,EPO,944,4526,Edwards and Sons
53,Go woman.,EPO,628,3462,"Thomas, Turner and Graham"
54,Six media.,HMO,323,4363,"Bradshaw, Stevenson and Turner"
55,Body push recent.,PPO,607,1913,Miller LLC
56,Discussion morning everything.,EPO,221,2130,Ellis PLC
57,Positive tree.,POS,216,2217,Gonzalez-Wiley
58,Already.,EPO,723,4460,Baker and Sons
59,Rate focus.,PPO,221,2120,"Carter, Martin and Flores"
60,Anyone get student.,EPO,262,1645,Rodgers Group
61,See although after.,PPO,689,1946,Warren-Kelly
62,Single article environmental.,HMO,815,3239,Jones and Sons
63,Fire either.,EPO,462,2780,Sanchez-Herrera
64,Of bill.,HMO,461,4026,Ramirez Ltd
65,Recent coach world.,PPO,251,821,"Armstrong, Hicks and Scott"
66,She small occur learn.,EPO,724,4178,Tran-Rivera
67,Area staff.,POS,957,1872,Vargas and Sons
68,Begin indeed.,POS,694,2977,Brown-Freeman
69,Page compare example wait.,PPO,607,2816,Mendoza-Barrett
70,Thing.,PPO,136,2416,Franklin Ltd
71,Give food any.,POS,667,1554,Turner-Alexander
72,Paper student.,POS,240,2719,Wells Inc
73,Class relate every.,EPO,777,4844,Leon Group
74,Job reveal.,HMO,484,3353,Gillespie LLC
75,Affect.,HMO,479,638,"Daniels, Erickson and Davis"
76,Game natural.,EPO,451,4680,"Norris, Harris and Johnson"
77,One gas official.,HMO,967,2546,Kline-Banks
78,Follow history nearly.,EPO,168,4771,Kline-Massey
79,Life material.,EPO,131,3244,Fuentes-Reid
80,Fish many.,PPO,706,4144,Clark Ltd
81,Agency about.,EPO,382,3921,Green-Kidd
82,Conference Mrs.,POS,793,4902,Edwards Group
83,Allow stay.,PPO,475,2739,Baker-Carroll
84,Walk moment.,HMO,730,598,Thomas-Evans
85,Another section choice.,HMO,237,2488,Wolfe Ltd
86,Thus child produce.,HMO,318,4956,Bright-Wells
87,Focus responsibility message.,EPO,487,4870,Taylor and Sons
88,Strategy American occur subject.,EPO,728,4359,"Mccall, Holt and Gomez"
89,Run seven hit.,EPO,460,559,Moses-Ruiz
90,Center.,PPO,500,4242,Hodges Ltd
91,Ahead idea involve.,HMO,609,3145,Reed LLC
92,Media thousand kind.,POS,771,709,Tucker Ltd
93,Believe brother.,HMO,629,2371,"Green, Peterson and Hubbard"
94,Bring kid eye.,EPO,927,2591,Martinez-Hurst
95,Gas her girl.,POS,954,2461,Cochran-Jones
96,Study thing.,HMO,568,4379,Charles Inc
97,Add small Mrs.,EPO,872,1166,Ryan PLC
98,Age court.,POS,851,2628,Greene Ltd
99,Paper chair assume.,HMO,238,1227,Barnes and Sons
